word,phonetic,definition,translation,tag,context,collins,oxford,bnc,frq
causative,'kɒ:zәtiv,a. producing an effect,"a. 成为原因的
n. 使役动词",,"Meningococcal meningitis is a relativelyrare disease, yet the causative agent is extremelyScientific Tunnel Vision 244common.",0,0,25441,25342
ceaselessly,'si:slisli,r with unflagging resolve,"adv. 不停地, 不断地",,,0,0,23583,23584
censorship,'sensәʃip,"n counterintelligence achieved by banning or deleting any information of value to the enemy
n deleting parts of publications or correspondence or theatrical performances","n. 检查制度
[医] 督察, 监察",,Agovernment that withholds essential information fromits people by censorship is no more democratic than onethat speaks falsely.,0,0,7297,8665
centeredness,sentəd'nes,, 自我中心,,The Risk of Confrontation 153self-centeredness.,0,0,0,0
cerebral,'seribrәl,"a. involving intelligence rather than emotions or instinct
a. of or relating to the cerebrum or brain","a. 脑的, 大脑的
[医] 小脑的",gre,"And so it goes, up the scale of evolution,a scale of increasing complexity and organization anddifferentiation, with man, who possesses an enormouscerebral cortex and extraordinarily complex behaviorpatterns, being, as far as we can tell, at the top.",1,0,8856,10167
cessation,se'seiʃәn,n. a stopping,"n. 停止
[法] 中止, 中断, 停止",gre,"Subsequently, however, a cessation of pa-rental love throughdeath, abandonment or chronic rejection, has the effect ofmaking the child's unrequited commitment an experience ofintolerable pain.",1,0,14334,14248
Cetonia,,,[网络] 黑麦草,,"It was a scarabaeidbeetle, or common rose-chafer (Cetonia aurata),whose gold-green color most nearly resembles thatof a golden scarab.",0,0,0,0
chafer,'tʃeifә,"n. One who chafes.
n. A vessel for heating water; -- hence, a dish or pan.
n. A kind of beetle; the cockchafer. The name is also applied
   to other species; as, the rose chafer.","n. 金龟子
[建] 胎圈包布",,"It was a scarabaeidbeetle, or common rose-chafer (Cetonia aurata),whose gold-green color most nearly resembles thatof a golden scarab.",0,0,0,0
chaff,tʃæf,"n. material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds
n. foil in thin strips; ejected into the air as a radar countermeasure","n. 谷壳, 糠, 揶揄
v. 开玩笑, 戏弄",gre,"Afourth way is selective listening, which is a particularly alertform of pretend listening, wherein parents may prick up theirears if the child seems to be saying something of significance,hoping to separate the wheat from the chaff with a minimumof effort.",0,0,23677,25449
changeability,..tʃeindʒә'biliti,n the quality of being changeable; having a marked tendency to change,"n. 可变性
[建] 变易性",,,0,0,49205,44986
charioteer,.tʃæriә'tiә,n. the driver of a chariot,n. 战车的御者,,Or the bronze statue of the Greek charioteer at Delphi?,0,0,47598,37625
charlatan,'ʃɑ:lәtәn,n a flamboyant deceiver; one who attracts customers with tricks or jokes,"n. 庸医
[医] 庸医, 江湖医",gre,"For instance, ""board-certified"" psychiatrists, thetherapists with the most credentials, undergosufficiently rigorous training so that one can berelatively certain of not falling into the hands of acharlatan.",0,0,21347,21841
chastise,tʃæ'staiz,v. censure severely,"vt. 责骂, 惩罚
[法] 责罚, 惩戒, 严惩",gre,,0,0,21392,14398
chauffeur,'ʃәufә,n. a man paid to drive a privately owned car,n. 司机,,Some forms of attentionare pure service to the child: sitting on the beach attending afour-year-old or the almost endless chauffeuring required byearly adolescents.,1,0,12038,14455
chauvinism,'ʃәuvinizm,n. fanatical patriotism,"n. 盲目的爱国主义, 沙文主义
[法] 沙文主义",gre,I was aghast at what seemed tome his painfully blatant male chauvinism.,1,0,19187,22640
chauvinistic,.ʃәuvi'nistik,"a. of or relating to persons convinced of the superiority of their own gender or kind
s. fanatically patriotic","a. 本民族(或本性别)第一主义的, 沙文主义的",gre,"A thirty-five-year old mother of three, married to a controlling,stultifying, in-flexible, chauvinistic husband, gradually andpainfully comes to realize that her dependency on himand their marriage is a living death.",0,0,33277,27608
cheater,'tʃi:tә,n someone who leads you to believe something that is not true,"n. 骗子, 诈手
[法] 骗子",,"It may save even greateramounts of time and, if successfully executed, may gainthe cheater a passing mark on the exam and thecoveted degree.",0,0,49204,18078
cheerfully,'tʃiәfuli,r. in a cheerful manner,adv. 高高兴兴地,,,0,1,8079,10850
Chicago,ʃi'kɑ:gәu,n. largest city in Illinois; a bustling Great Lakes port that extends 26 miles along the southwestern shoreline of Lake Michigan,n. 芝加哥,,"He was bornillegitimate, and through in-fancy and early childhoodwas raised solely by his mother, who was both deaf anddumb, in the slums of Chicago.",0,0,5411,0
childlike,'tʃaillaik,"s. befitting a young child
s. exhibiting childlike simplicity and credulity","a. 孩子似的, 天真烂漫的",,"To many this hypothesisseems too simple, too easy; too much like fantasy;childlike and naive.",1,0,18930,12874
cholesterol,kә'lestәrɒl,n. an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues,"n. 胆固醇
[化] 胆固醇; 胆固醇",,"Secondhand information concerning the state of mykidneys, the effects of cholesterol, and the raising ofchickens, I can live with.",2,0,7417,3119
Christianity,.kristʃi'æniti,n. a monotheistic system of beliefs and practices based on the Old Testament and the teachings of Jesus as embodied in the New Testament and emphasizing the role of Jesus as savior,"n. 基督教, 基督教精神",,Eliot describes theThree Wise Men as suffering the giving up of their previousworld view when they embraced Christianity.,2,0,3886,3761
Christmastime,'krismәstaim,n period extending from Dec. 24 to Jan. 6,n. (=Christmastide)圣诞节期,,,0,0,0,16446
chronically,'krɒnikli,"r. in a habitual and longstanding manner
r. in a slowly developing and long lasting manner","adv. 慢性地, 长期地, 习惯性地",,The sales-man knew the banker to be achronically angry man who was deeply resentful of his wife'sleaving him.,0,0,15053,12807
churchgoer,'tʃә:tʃgәuә,n. a religious person who goes to church regularly,n. 经常去做礼拜的人,,,0,0,33071,21629
circumspectly,'sɜ:kəmspektlɪ,r in a cagey manner,"adv. 慎重地, 留心地",,,0,0,39616,41631
circumvention,.sә:kәm'venʃәn,n. the act of evading by going around,"n. 陷害, 包围
[法] 陷害, 计谋",,,0,0,0,40241
cleaver,'kli:vә,n. a butcher's knife having a large square blade,"n. 切肉刀, 切割者, 劈脊
[医] 劈刀",gre,,0,0,37513,20393
climber,'klaimә,"n. a vine or climbing plant that readily grows up a support or over other plants
n. someone who climbs as a sport; especially someone who climbs mountains","n. 登山者
[电] 登杆器",,"Love Is Separateness 167Successful mountain climbers know that they must spend atleast as much time, if not more, in tending to their basecamp as they actually do in climbing mountains, for theirsurvival is dependent upon their seeing to it that their basecamp is sturdily constructed and well stocked.",1,0,6271,8618
closedness,,, [计]封闭，闭合,,"And it is indeed anever-ending burden of self-discipline, which is whymost people opt for a life of very limited honesty andopenness and relative closedness, hiding themselvesand their maps from the world.",0,0,0,0
closeness,'klәusnis,"n. a feeling of being intimate and belonging together
n. characterized by a lack of openness (especially about one's actions or purposes)","[建] 密闭, 紧密",,"He could not even allow himselfcloseness with his wife; she, too,could not be trusted.",0,0,11313,10688
Clytemnestra,",klaitəm'nestrə",n. (Greek mythology) wife of Agamemnon who had him murdered when he returned from the Trojan War,"n. 克吕泰墨斯特拉（希腊神话中的人物, 等于Clytaemnesra）",,"As part of the enactment of thiscurse upon the House of Atreus, Orestes' mother,Clytemnestra, murdered his father and her husband,Agamemnon.",0,0,0,0
coercion,kәu'ә:ʃәn,n. the act of compelling by force of authority,"n. 强迫, 威压, 高压统治
[法] 强迫, 强制, 高压统治",gre,"I de-fine evil, then, asthe exercise of political power-that is, the imposition ofone's will upon others by overt or covert coercion-in orderto avoid extending one's self for the purpose of nurturingspiritual growth.",0,0,12174,9770
cognition,kɒg'niʃәn,n. the psychological result of perception and learning and reasoning,"n. 认识, 认识力, 认识的结果
[医] 认识, 识别",,"Sooner or later in the course ofpsychotherapy most therapists will come to recognize how apatient views the world, but if the therapist is specifically onthe lookout for it, he or she will come to this recognitionsooner rather than later.",0,0,22519,10977
coherency,,"n the state of cohering or sticking together
n logical and orderly and consistent relation of parts","n. 粘着, 粘合性, (逻辑上的)紧凑, 一致性, 连贯, 相干性, 内聚现象, 内聚力
[建] 联接, 内聚现象, 内聚力",,"Yet, for the sake ofcoherency, it may be helpful to make a brief but limitedmention of it and its relationship to discipline at this point.",0,0,0,36695
coiffure,kwɑ:'fjuә,"n the arrangement of the hair (especially a woman's hair)
v arrange attractively","n. 头发式样, 妇女的发式, 头饰
vt. 把(头发)做成某种式样",,A neatly coiffured womanwho had been seeing me for some time began to comb herhair each time she got up from the couch at the end of asession.,0,0,37854,26694
coincidental,kәuinsi'dentәl,s occurring or operating at the same time,"a. 一致的, 符合的, 巧合的",,It is inevitable that the therapist will experienceloving feelings coincidental with the genuine love he orshe has demonstrated toward the patient.,0,0,19109,18156
coldly,'kәuldli,r. in a cold unemotional manner,adv. 冷淡地,,Some-times it is best to express it coldlyand calmly; at other times loudly and hotly.,0,1,8298,14634
coldness,'kәuldnis,"n. a lack of affection or enthusiasm
n. the absence of heat","n. 寒冷, 冷, 冷淡",,"Iftherapists are caring, they will also be cautious,disciplined and usually reserved, but it should be pos-314 AFTERWORDsible for you to intuit whether the reserve cloakswarmth or coldness.",0,0,16048,19997
colitis,kәu'laitis,n. inflammation of the colon,"n. 结肠炎
[医] 结肠炎",,"Anindividual may suffer a single, relatively mild attack ofulcerative colitis-a disorder generally accepted to bepsychosomatic-recover completely, and go on to livethrough life without ever again experiencing thisdifficulty.",0,0,5923,25556
colorful,'kʌlәful,"a. having striking color
a. striking in variety and interest","a. 华美的, 富有色彩的, 有趣的",,"There is no doubt that their union is, in a certainsense, a highly colorful one.",0,0,0,4462
comfortably,'kʌmfәtәbli,"r. in mental comfort; without stress
r. in physical comfort","adv. 安乐地, 舒服地, 宽裕地",,Yet there seemed nothing to do otherthan to try to make the best of it and try to mold myimperfections so that I could fit more comfortably into thispattern that had been laid out for me and that was soobviously the right pattern.,1,1,5959,6887
commandment,kә'mɑ:ndmәnt,n. something that is commanded,n. 戒律,,"One way of analyzing Kathy's problemwould be to state that while she believed wholeheartedly inGod, the commandments and the concept of sin, her religionand understanding of the world was of the hand-me-downvariety and badly suited to her needs.",0,0,15094,14661
commensurate,kә'menʃәrit,a. corresponding in size or degree or extent,"a. 同量的, 同等的, 相称的",gre,Yetthe rewards of the difficult life of honesty and dedi-cation to the truth are more than commensurate withthe demands.,0,0,18874,16742
commonality,.kɒmә'næliti,n. sharing of common attributes,"n. 共同特性, 平民百姓",,"Although generally regarded as separate, I havecome to believe that their commonality indicates thatthese phenomena are part of or manifestations of asingle phenomenon: a powerful force originatingoutside of human consciousness which nurtures thespiritual growth of human beings.",0,0,26360,14421
Communion,kә'mju:njәn,"n. the act of participating in the celebration of the Eucharist
n. sharing thoughts and feelings
n. (Christianity) a group of Christians with a common religious faith who practice the same rites","n. 共享, 交流, 恳谈, 宗教教派",,,1,0,7975,9720
compassionate,kәm'pæʃәnit,a. showing or having compassion,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情",gre,"Gradually my patient was helped to see that as a child hehad vowed to be as different from his father as possible, tobe as compassionate and concerned as his father washeartless and unconcerned.",1,0,13833,7812
completeness,kәm'pli:tnis,"n. the state of being complete and entire; having everything that is needed
n. (logic) an attribute of a logical system that is so constituted that a contradiction arises if any proposition is introduced that cannot be derived from the axioms of the system","n. 完全
[经] 完整性",,"They never feel ""full-filled"" or have asense of completeness.",0,0,14962,19229
conceivable,kәn'si:vәbl,s. capable of being imagined,"a. 想得到的, 可想象的, 可理解的",,,1,0,9614,10412
conceivably,kәn'si:vәbli,r. within the realm of possibility,"adv. 想得到地, 想象上, 以为",,How could Iconceivably play chess enthusiastically but not seriously?,0,0,11846,11991
concen,,,abbr. control center 控制中心,,"Actually, I don't begin to have the knowledge or thetime to gain that knowledge to be able to fix mostmechanical failures, given the fact that I choose toconcentrate my time on nonmechanical matters.",0,0,0,0
conceptualize,kәn'septjuәlaiz,v have the idea for,"vt. 使概念化
[计] 概念表达",,Human beings have a profound tendencyto conceptualize in terms of discrete entities.,0,0,24042,11003
conclusively,,r. in a conclusive way,"adv. 最后, 释疑, 确定性, 结论性",,,0,0,15067,17535
concretize,'kɒnkri:taiz,"v. make something concrete
v. become specific",vt. 使具体化,,,0,0,0,32170
concussion,kәn'kʌʃәn,"n. injury to the brain caused by a blow; usually resulting in loss of consciousness
n. any violent blow","n. 剧烈摇动, 震荡
[医] 震荡",gre,In November of histenth year he was in a bike accident and sustained afractured skull and severe concussion.,0,0,21275,12161
conduit,'kɒndit,n. a passage (a pipe or tunnel) through which water or electric wires can pass,"n. 导管, 水管, 沟渠
[电] 导管",gre,I ammerely a conduit.,1,0,15507,12054
congruence,'kɒŋgruәns,n the quality of agreeing; being suitable and appropriate,"n. 适合, 一致, 和谐",,A major and es-sential task in the process of one's spiritual development isthe continuous work of bringing one's conscious self-concept into progressively greater congruence with reality.,0,0,25666,18706
connectedness,,"n the state of being connected
n a relation between things or events (as in the case of one causing the other or sharing features with it)",[计] 连通性,,"The true wonder of theworld is available everywhere, in the minutest partsof our bodies, in the vast expanses of the cosmos,and in the intimate interconnectedness of these andall things.",0,0,39503,17857
Connecticut,kә'netikәt,"n. a New England state; one of the original 13 colonies
n. a river in the northeastern United States; flows south from northern New Hampshire along the border between New Hampshire and Vermont and through Massachusetts and Connecticut where it empties into Long Island Sound
n. one of the British colonies that formed the United States",n. 康涅狄格,,,0,0,16053,0
consensual,kәn'sensjuәl,s. existing by consent,"a. 在两方愿意下成立的, 交感的
[医] 同感的, 交感的",,,0,0,16715,13093
consequential,",kɔnsi'kwenʃәl",s. having important issues or results,"a. 作为结果的, 随之发生的, 推论的, 间接的, 重大的, 自大的, 傲慢的, 自傲的
[法] 结果的, 相应而生的, 接着发生的",gre,,0,0,15298,19493
consolation,.kɒnsә'leiʃәn,"n. the comfort you feel when consoled in times of disappointment
n. the act of consoling; giving relief in affliction","n. 安慰, 令人安慰的事物
[法] 安慰, 慰问",,"A major part ofthe task of psychotherapy is not only to bring patientsto the experience of mental health but also, through amixture of consolation, reassurance and sternness, toprevent them from running away from that experienceonce they have arrived at it.",0,0,7614,10267
consonance,'kɒnsәnәns,"n. the repetition of consonants (or consonant patterns) especially at the ends of words
n. the property of sounding harmonious","n. 一致, 调和, 辅音韵
[医] 谐和",gre,"There come manypoints on one's journey of spiritual growth, whether one isalone or has a psychotherapist as guide, when one must takenew and unfamiliar actions in consonance with one's newworld view.",0,0,39289,31195
constancy,'kɒnstәnsi,"n. the quality of being enduring and free from change or variation
n. (psychology) the tendency for perceived objects to give rise to very similar perceptual experiences in spite of wide variations in the conditions of observation
n. faithfulness and dependability in personal attachments (especially sexual fidelity)","n. 坚定不移, 持久不变",,The therapist's sense ofcommitment and constancy of concern will usually be testedand inevitably made manifest to the patient in myriad waysover the course of months or years of therapy.,0,0,21966,21376
constriction,kәn'strikʃәn,"n. a narrowing that reduces the flow through a channel
n. tight or narrow compression
n. a tight feeling in some part of the body","n. 压缩, 收缩, 紧压的感觉
[医] 狭窄, 缩窄; 紧窄感",,Yet she was not aware ofher illness or of the damage she was doing to herself byher self-constriction.,0,0,20596,23094
constructive,kәn'strʌktiv,"a. constructing or tending to construct or improve or promote development
s. emphasizing what is laudable or hopeful or to the good","a. 建设性的, 构造上的
[医] 构成的",,"What are these tools, these techniques of suffering,these means of experiencing the pain of problemsconstructively that I call discipline?",2,0,5702,7446
constructively,,r. in a constructive manner,adv. 建设性地,,"What are these tools, these techniques of suffering,these means of experiencing the pain of problemsconstructively that I call discipline?",0,0,19071,21198
consummate,'kɒnsәmeit,"v. fulfill sexually
v. make perfect; bring to perfection
s. having or revealing supreme mastery or skill","vt. 完成, 使完美
a. 无上的, 至上的, 完美的",gre,"Even if the relationship isnot sexually consummated, it is detrimental for thetherapist to ""fall in love"" with the patient, since, as we haveseen, falling in love involves a collapse of ego boundariesand a diminution of the normal sense of separation thatexists between individuals.",1,0,20284,14545
consummation,.kɒnsә'meiʃәn,"n. the completion of marriage by sexual intercourse
n. the act of bringing to completion or fruition","n. 完成, 成就, 圆满成功
[法] 完成, 结果, 完美",,"Two strangers may meet in a bar and cathect each other insuch a way that nothing-not previously scheduledappointments, promises made, or family stability-is moreimportant for the moment than their sexual consummation.",0,0,23118,24143
contemplation,.kɒntem'pleiʃәn,"n. a long and thoughtful observation
n. a calm, lengthy, intent consideration","n. 注视, 沉思, 盘算
[法] 默察, 意图, 期待",,The life of wisdommust be a life of contemplation combined with action.,0,0,11400,11236
contemplative,'kɒntempleitiv,n. a person devoted to the contemplative life,"a. 沉思的, 爱默想的, 冥想的
[医] 沉思的",,"In the 1950s people labeled Adlai Stevensonan ""egghead"" and believed he would not make a goodPresident precisely because he was a contemplative man,given to deep thinking and self-doubts.",0,0,16782,14870
contraception,.kɒntrә'sepʃәn,n. birth control by the use of devices (diaphragm or intrauterine device or condom) or drugs or surgery,"n. 避孕, 避孕法
[医] 节(制生)育, 避孕",,,1,0,10213,12338
contrarily,'kɒntrәrili,"r. contrary to expectations; on the contrary, he went out with his friends""","adv. 反之, 相反地, 反对地",,,0,0,48420,45112
contrib,,,n. 普通发布版,,"In what waysdid the national experience of the Depression yearscontribute to their map, and the experience of thefifties and sixties contribute to the map of the youngergeneration?",0,0,0,0
cornerstone,'kɔ:nәstәjn,"n. a stone in the exterior of a large and important building; usually carved with a date and laid with appropriate ceremonies
n. a stone at the outer corner of two intersecting masonry walls","n. 奠基石, 基础",,"The feeling of being valuable-""I am a valuableperson""-is essential to mental health and is acornerstone of self-discipline.",1,0,13995,9822
cortex,'kɒ:teks,n. the tissue forming the outer layer of an organ or structure in plant or animal,"n. 皮层
[医] (树)皮; 皮质, 皮层",,"And so it goes, up the scale of evolution,a scale of increasing complexity and organization anddifferentiation, with man, who possesses an enormouscerebral cortex and extraordinarily complex behaviorpatterns, being, as far as we can tell, at the top.",1,0,10920,13799
counseled,,imp. & p. p. of Counsel,"vt. 劝告, 建议（counsel的过去式与过去分词形式）",,"The ministernever fought back and counseled his daughter also to respondto her mother by turning the other cheek and, in the name ofChristian charity, being unendingly submissive and respect-ful.",0,0,0,0
covert,'kʌvәt. 'kәuvәt,"n. a flock of coots
a. secret or hidden; not openly practiced or engaged in or shown or avowed
s. (of a wife) being under the protection of her husband","a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处",gre,Or else their will turns more and more toward covertrebellion.,1,0,11398,8772
covertly,,r. in a covert manner,adv. 偷偷摸摸地；秘密地,,"Political power is the capacity to coerce others,overtly or covertly, to do one's will.",0,0,19457,19127
cramp,kræmp,"n. a clamp for holding pieces of wood together while they are glued
n. a strip of metal with ends bent at right angles; used to hold masonry together
v. secure with a cramp
v. affect with or as if with a cramp","n. 痉挛, 腹部绞痛, 铁夹钳
a. 狭窄的, 难认的
vt. 使抽筋, 以铁箍扣紧, 束缚",gre,"Nonetheless, perhapsbecause it was needed, despite its flaws, there is noquestion in my mind that as I wrote the book in thesolitude of my cramped little office I had help.",1,0,14012,12410
creativeness,,n the ability to create,n. 创造性；才思,,,0,0,0,41410
Creator,kri:'eitә(r),n. a person who grows or makes or invents things,"n. 上帝, 创造者, 创作者",,,2,0,7103,5086
critically,'kritikәli,r. in a critical manner,"adv. 批评性地, 审慎地, 精密地",,"It isnecessary at times to tell children simply to shut up-when,for instance, their talk may be distracting in situations that135 LOVEcritically require attention elsewhere or when it mayrepresent a rude interruption of others and an attempt toachieve hostile or unrealistic dominance.",0,0,7560,6558
crucible,'kru:sibl,n. a vessel made of material that does not melt easily; used for high temperature chemical reactions,"n. 坩锅, 严酷的考验
[化] 坩埚",,"To be vital, to be the best of which weare capable, our religion must be a wholly personal one,forged entirely through the fire of our questioning anddoubting in the crucible of our own experience of reality.",0,0,21329,19317
crusade,kru:'seid,"n. any of the more or less continuous military expeditions in the 11th to 13th centuries when Christian powers of Europe tried to recapture the Holy Land from the Muslims
v. exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for
v. go on a crusade; fight a holy war","n. 改革运动, 十字军东侵
vi. 从事改革运动, 加入十字军",gre,"We may actually crusade against it, andeven attempt to manipulate the world so as to make itconform to our view of reality.",1,0,7819,7310
crusader,kru:'seidә,n. a warrior who engages in a holy war,"n. 十字军战士, 改革者",,"The neophyte scientist, recentlycome or converted to the world view of science, can be everybit as fanatical as a Christian crusader or a soldier of Allah.",0,0,12314,14357
crutch,krʌtʃ,"n. a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking
n. anything that serves as an expedient","n. 拐杖, 支撑, 依靠
vt. 支撑",gre,"One of the mostfrequent rationalizations for ignoring it is to question itslegitimacy by saying, ""I'm afraid that psychotherapywould get to be aOpenness to Challenge 67crutch.",1,0,14340,11589
cuddle,'kʌdl,"n. a close and affectionate (and often prolonged) embrace
v. move or arrange oneself in a comfortable and cozy position
v. hold (a person or thing) close, as for affection, comfort, or warmth","n. 搂抱, 拥抱
vt. 抚抱, 抱着睡, 拥抱
vi. 依偎, 依偎着躺在一起",gre,"They may be ideal mothers until their children reach the ageof two-infinitely tender, joyously breast-feeding, cuddlingand playing with their babies, consistently affectionate,totally dedicated to their nurture, and blissfully happy intheir motherhood.",1,0,11885,14556
culprit,'kʌlprit,n someone who perpetrates wrongdoing,"n. 犯人, 罪犯, 刑事被告
[法] 犯罪者, 犯人, 罪犯",gre,Thus twosiblings fighting will always blame each other forinitiating the fight and each will totally deny that he orshe may have been the culprit.,1,0,11124,8877
curtailment,kә: 'teilmәnt,n. the temporal property of being cut short,"n. 缩减, 缩短
[经] 削减, 紧缩",,Forto recognize laziness for what it is and acknowledge itin oneself is the beginning of its curtailment.,0,0,22731,27953
cutthroat,'kætθru:t,"n. someone who murders by cutting the victim's throat
s. ruthless in competition","n. 凶手, 谋杀者
a. 杀人的, 残酷的",,,0,0,0,18673
cyclical,'siklik(e)l,a recurring in cycles,"a. 周期的, 轮转的, 循环的, 轮列的, 轮卷的, 环状的, 环的, 组诗的, 始末的
[计] 循环的",gre,"If the readersenses the cyclical character of this process, he or she isquite correct and is appreciating the truth of the reciprocityof love.",1,0,15586,12518
Cypres,'saipris,n large tropical American tree of the genus Cordia grown for its abundant creamy white flowers and valuable wood,[美]表面施胶剂(商品名),,,0,0,0,0
dangerously,,r in a dangerous manner,"adv. 危险, 不安全",,"Thiscan be a dangerously tempting doctrine for certainadolescents and young adults who are not prepared toassume adult responsibilities, which seem frightening andoverwhelming and demanding beyond their capacities.",0,0,7676,8838
dapple,'dæpl,"n a small contrasting part of something
v colour with streaks or blotches of different shades","n. 斑纹, 花斑
a. 有斑纹的
v. (使)起斑纹",,,0,0,33619,27730
daresay,'deә'sei,,"vi.vt. (仅用于主语为I时,后加宾语从句)(我)想, 也许",,,0,0,17192,28068
dashboard,'dæʃbɒ:d,n. instrument panel on an automobile or airplane containing dials and controls,"n. 仪表板, 挡泥板",,"The parking brake was stuck ona patient's car, and she knew that there was some-thingone could do under the dashboard to release it, but shedidn't know what.",1,0,15643,11591
daydream,'deidri:m,v. have dreamlike musings or fantasies while awake,"n. 白日梦
vi. 做白日梦",,The notion of effortwas not involved in their daydreams; they envisioned onlyan effortless passive state of receiving care.,1,0,24655,16376
deacon,'di:kәn,"n. a Protestant layman who assists the minister
n. a cleric ranking just below a priest in Christian churches; one of the Holy Orders","n. 副主祭, 执事, 行会会长
vt. 朗读, 摆得好看些",,,1,0,12458,14724
deaden,'dedn,"v. make vapid or deprive of spirit
v. lessen the momentum or velocity of
v. become lifeless, less lively, intense, or active; lose life, force, or vigor","vt. 使减弱, 使麻木
vi. 减弱",gre,"WeProblems and Paineven take drugs to assist us in ignoring them, so that bydeadening ourselves to the pain we can forget the problemsthat cause the pain.",0,0,23608,23285
dealing,'di:liŋ,n. method or manner of conduct in relation to others,"n. 经营行为, 行为, 交易
[法] 待遇, 处置, 行为",gre,"It is not simply in their role as parents that character-disordered individuals are ineffective and destructive;these same character traits usually extend to theirmarriages, their friend-ships and their businessdealings-to any area of their existence in which theyfail to assume responsibility for its quality.",0,0,4521,0
decency,'di:sәnsi,"n. the quality of conforming to standards of propriety and morality
n. the quality of being polite and respectable","n. 得体, 礼貌, 正派
[法] 正当, 正派, 合乎礼仪",gre,"I must confessthat there are many dreams whose significancecompletely eludes me, and it is tempting to wishpetulantly that the unconscious would often have thedecency to speak to us in clearer language.",1,0,9570,10391
deepseated,di:p'si:tɪd,, 根深蒂固,,It was mentioned in the first section that childrenwho are loved and cared for with relative consistencythroughout childhood enter adulthood with a deepseatedfeeling that they are lovable and valuable and therefore willbe loved and cared for as long as they remain true tothemselves.,0,0,0,0
defender,di'fendә,"n. a person who cares for persons or property
n. a fighter who holds out against attack","n. 防卫者, 防护者, 辩护者
[法] 辩护人, 保护人",,,2,0,3732,4820
deferentially,ˌdefə'renʃəlɪ,"r. in a servile manner
r. in a respectfully deferential manner","adv. 表示敬意地, 谦恭地",,"He remained an ideal provider,buying her gifts, treating her deferentially, working a greatdeal of overtime, not allowing her to have a job.",0,0,36851,37047
definitiveness,dɪ'fɪnətɪvnəs,n. The quality of being definitive., 确定性,,,0,0,0,0
deject,di'dʒekt,v lower someone's spirits; make downhearted,"vt. 使沮丧, 使灰心",,,0,0,0,0
deliberation,di.libә'reiʃәn,"n. (usually plural) discussion of all sides of a question
n. careful consideration
n. the trait of thoughtfulness in action or decision","n. 熟虑, 熟思, 审议
[法] 慎重考虑, 商讨, 审议",,"At times, forinstance, it is necessary to express it only after muchdeliberation and self-evaluation.",1,0,8476,7957
delightful,di'laitful,s. greatly pleasing or entertaining,"a. 令人愉快的, 可爱的",,,2,0,5310,8762
delinquent,di'liŋkwәnt,"n. a young offender
s. guilty of a misdeed
s. past due; not paid at the scheduled time","n. 行为不良的人, 违法者
a. 怠忽的, 有过失的",gre,"Whentheir children are delinquent or are having difficulty inschool, character-disordered parents will automaticallylay the blame on the school system or on other childrenwho, they insist, are a ""bad influence"" on their ownchildren.",1,0,16764,13568
delphi,'delfai,n. an ancient Greek city on the slopes of Mount Parnassus; site of the oracle of Delphi,n. 特尔斐（希腊古都）,,,0,0,27808,0
demonstrable,'demәnstrәbl,"s. necessarily or demonstrably true
s. capable of being demonstrated or proved",a. 可论证的,,When we love someone our love be-comes demonstrable or real only through our exertion-through the fact that for that someone (or for ourself) we takean extra step or walk an extra mile.,0,0,20115,23383
demure,di'mjuә,s affectedly modest or shy especially in a playful or provocative way,"a. 装成端庄的, 假正经的, 娴静的",gre,"Betsy was a twenty-two-year-old woman, lovely andintelligent but with a demure almost virginal quality toher, who* I recognize that this schema of mental illness issomewhat oversimplified.",0,0,20729,19945
denigrate,'denigreit,"v cause to seem less serious; play down
v charge falsely or with malicious intent; attack the good name and reputation of someone","vt. 使变黑, 玷污, 诋毁",gre,"Among other things, it denigrates the vastimportance of parenting in late childhood andadolescence.",1,0,18711,15041
Denver,'denvә,n. the state capital and largest city of Colorado; located in central Colorado on the South Platte river,n. 丹佛(美国城市),,"As John Denver sings:Love is everywhere, I see it.",0,0,16572,0
dependably,di'pendәbli,r in a faithful manner,adv. 可信任地,,"We wantthem to stay put, to lie dependably near the hearth.",0,0,0,32958
dependency,di'pendәnsi,"n the state of relying on or being controlled by someone or something else
n being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
n a geographical area politically controlled by a distant country","n. 属国, 保护地, 从属物
[医] 从属, 从属部",,"As children, by virtue of our real and extensivedependency, our parents have real and extensive powerover us.",1,0,6214,7839
dependently,,adv. In a dependent manner.,"依赖地
从属地
有瘾地",,"Forinstance, it is not uncommon for two individuals knownto each other to independently have the same or* ""An Experimental Approach to Dreams and Telepathy: IIReport of ""Three Studies,"" American Journal of Psychiatry,(March 1970), pp.",0,0,0,0
depressive,di'presiv,n. someone suffering psychological depression,"a. 压抑的, 压下的, 沉闷的
[医] 抑郁的, 阻抑的, 压低的",,The effect ofthis experience is usually evidenced as the children grow toadulthood in a depressive and/or passive dependentpersonality pattern.,0,0,16274,11392
